day,date,market_phase,total_routes,successful_routes,failed_routes,gross_profit,gas_costs,net_profit,avg_roi,best_route_profit,worst_route_profit,routes_2hop,routes_3hop,routes_4hop,routes_crosschain,mev_frontrun,mev_backrun,cumulative_routes,cumulative_profit,cumulative_gas,cumulative_net_profit,current_capital,daily_return
24,2025-08-31,bull,48,26,22,7087797.106469322,339.34346674992196,7087457.763002572,231.2550384615884,1487144.7601798316,-125703.68430566361,10,11,5,7,4,3,521,156841421.31120512,12529.025724546926,156828892.28548056,156928892.28548056,0.047299719103659335
25,2025-09-01,bull,35,18,17,4021386.1329300175,310.0786609430677,4021076.0542690745,234.03970876625868,669088.5122068605,-60946.12820714611,7,6,5,7,4,2,539,160862807.44413513,12839.104385489993,160849968.33974963,160949968.33974963,0.025623554692236327
26,2025-09-02,bull,38,21,17,3574167.848983704,286.48193936097806,3573881.367044343,162.41945243042795,626111.7503978047,-42891.97189184794,7,10,4,5,4,2,560,164436975.29311883,13125.58632485097,164423849.70679396,164523849.70679396,0.022204921218128042
27,2025-09-03,bull,31,18,13,3009488.7787263417,503.926708005137,3008984.8520183363,119.67132633286845,1178068.2710515375,-75979.3074494387,9,6,3,8,3,3,578,167446464.07184517,13629.513032856108,167432834.5588123,167532834.5588123,0.018289049626426784
28,2025-09-04,bull,31,16,15,3137560.404372401,426.69065235898546,3137133.7137200423,190.33316037735776,872946.9128270132,-141419.37461265182,5,4,7,7,1,2,594,170584024.47621757,14056.203685215094,170569968.27253234,170669968.27253234,0.018725485794957725
29,2025-09-05,bull,36,17,19,6346341.87915642,203.21403903927273,6346138.665117381,251.49956210297478,1908946.505565074,-88215.97671469138,3,12,2,5,0,2,611,176930366.35537398,14259.417724254366,176916106.93764973,177016106.93764973,0.03718368690960101
30,2025-09-06,bear,22,10,12,2353996.1703448757,334.0314525397001,2353662.138892336,236.88491851649528,828971.3332011078,7539.772896723037,3,5,2,6,1,1,621,179284362.52571887,14593.449176794067,179269769.07654205,179369769.07654205,0.013296316248336456
31,2025-09-07,bear,12,6,6,1084949.0419393645,275.00245940313266,1084674.0394799614,116.52240826921542,889893.2808472227,-35588.066299788,2,2,2,0,0,0,627,180369311.56765825,14868.4516361972,180354443.11602202,180454443.11602202,0.006047139632638435
32,2025-09-08,bear,18,7,11,4708646.827630613,166.09694664271825,4708480.73068397,787.9564182863463,1970427.976720128,-33022.399036260795,1,5,1,4,1,1,634,185077958.39528885,15034.548582839918,185062923.846706,185162923.846706,0.02609235134020326
33,2025-09-09,bear,15,10,5,2219917.177590492,98.57036061303228,2219818.607229879,180.92611713829243,1038006.4652801086,-28792.53958208537,5,4,1,4,2,0,644,187297875.57287934,15133.11894345295,187282742.4539359,187382742.4539359,0.01198846162673278
34,2025-09-10,bear,33,18,15,5941014.867910156,404.1219537176884,5940610.745956439,335.79153549789214,2140550.679694528,-109743.92606128904,9,5,4,7,3,2,662,193238890.4407895,15537.240897170637,193223353.19989234,193323353.19989234,0.03170308358261334
35,2025-09-11,bear,22,9,13,1408681.4748531126,218.53127312859655,1408462.943579984,129.50420834322298,491719.4105412259,-40986.3361711618,6,2,1,1,1,1,671,194647571.9156426,15755.772170299233,194631816.1434723,194731816.1434723,0.007285529245520909
36,2025-09-12,bear,26,17,9,1400935.9066751944,318.72427310442595,1400617.18240209,80.28512130859784,734354.8959622419,-118687.34422997583,7,7,3,5,1,0,688,196048507.82231778,16074.49644340366,196032433.32587442,196132433.32587442,0.007192544136548077
37,2025-09-13,bear,32,15,17,4101925.2180616306,239.1262834232215,4101686.0917782076,233.44471249750404,1859331.7672364186,-125460.69398933944,8,6,1,5,3,2,703,200150433.0403794,16313.622726826881,200134119.41765264,200234119.41765264,0.02091283946374768
38,2025-09-14,bear,27,14,13,6870323.253642335,460.58377505340974,6869862.669867281,298.1625512624023,2656736.7108395495,-124449.0888322186,5,4,5,5,2,2,717,207020756.29402173,16774.20650188029,207003982.0875199,207103982.0875199,0.034309151156891364
39,2025-09-15,bear,32,17,15,5061761.772042834,444.97369888319463,5061316.798343951,335.19936911150234,1232162.553566977,-85693.19687477445,7,9,1,6,1,1,734,212082518.06606457,17219.180200763483,212065298.88586387,212165298.88586387,0.024438529608788947
40,2025-09-16,bear,22,12,10,1236301.5397503707,181.34783450618048,1236120.1919158646,85.35849669311096,360836.5016715072,-61436.34463705827,6,4,2,1,4,4,746,213318819.60581493,17400.528035269665,213301419.07777974,213401419.07777974,0.005826212855764156
41,2025-09-17,bear,28,19,9,5465130.927868741,360.8625747594404,5464770.065293981,206.37830860845213,2141308.4497218574,-140739.19918633913,7,11,1,5,0,4,765,218783950.5336837,17761.390610029106,218766189.1430737,218866189.1430737,0.025607936858668228
42,2025-09-18,bear,32,18,14,3910717.074025455,310.91775361295777,3910406.156271842,167.93723629250275,2116218.980759699,-92059.4365199197,10,4,4,2,1,4,783,222694667.60770914,18072.308363642063,222676595.29934555,222776595.29934555,0.017866652549588614
43,2025-09-19,bear,26,19,7,8255318.797671206,199.87777556125604,8255118.919895645,309.4174745510204,2117805.8964049327,-9039.022771416516,7,9,3,6,2,3,802,230949986.40538034,18272.18613920332,230931714.2192412,231031714.2192412,0.03705559333467332
44,2025-09-20,bear,29,20,9,8999602.352931498,594.9796490059674,8999007.373282492,301.10948641741913,2968332.686158178,-105698.19375454857,8,5,7,8,3,1,822,239949588.75831184,18867.165788209288,239930721.5925237,240030721.5925237,0.03895139420011723
45,2025-09-21,bear,28,13,15,4534538.730515575,715.5932793644354,4533823.1372362105,391.686528068998,1824130.5153971093,-53299.421742560284,2,4,7,8,2,5,835,244484127.4888274,19582.759067573723,244464544.7297599,244564544.7297599,0.018888511883628094
46,2025-09-22,bear,16,9,7,1070759.8008379033,274.270328559191,1070485.530509344,80.55621043993239,1029744.2101776421,-134345.7301130209,1,5,3,1,1,2,844,245554887.2896653,19857.029396132915,245535030.26026925,245635030.26026925,0.004377108430382721
47,2025-09-23,bear,25,16,9,6527480.148617833,307.5762879189512,6527172.572329914,287.8652753853564,2652744.596579549,-93925.26461672227,5,6,5,6,5,2,860,252082367.43828315,20164.605684051865,252062202.83259916,252162202.83259916,0.026572645462717072
48,2025-09-24,bear,31,19,12,4288510.776295816,162.64437943558204,4288348.13191638,222.08328131470415,1356700.993994392,-121110.18282131103,9,6,4,5,7,2,879,256370878.21457896,20327.25006348745,256350550.96451554,256450550.96451554,0.01700630817681764
49,2025-09-25,bear,30,20,10,4199874.7979243165,455.26276814353344,4199419.535156173,172.5220562052357,1078211.4089981085,-119623.26526641559,10,7,3,6,3,3,899,260570753.01250327,20782.512831630982,260549970.4996717,260649970.4996717,0.016375162850545938
50,2025-09-26,bear,20,9,11,5329210.823020589,173.05144764161716,5329037.771572947,528.548257466829,2550184.3828420797,-41656.139690261625,1,4,4,4,2,1,908,265899963.83552384,20955.5642792726,265879008.27124465,265979008.27124465,0.020445188470027693
51,2025-09-27,bear,31,19,12,3514332.4423641097,350.13807817113764,3513982.3042859384,152.20794569675184,591502.0697775366,-184931.36077222158,7,10,2,5,2,3,927,269414296.27788794,21305.702357443737,269392990.5755306,269492990.5755306,0.013211502393085056
52,2025-09-28,bear,25,13,12,2719369.4793124,164.49602954829805,2719204.9832828515,181.29009881961412,1705255.1881822378,-119662.39868088986,9,1,3,3,2,1,940,272133665.75720036,21470.198386992037,272112195.55881345,272212195.55881345,0.010090076841982805
53,2025-09-29,bear,23,13,10,4557129.787282868,454.03053835050775,4556675.756744518,275.57073852474997,1987087.1063150156,-68041.91981218373,7,3,3,5,2,1,953,276690795.54448324,21924.228925342544,276668871.31555796,276768871.31555796,0.016739425459576865
54,2025-09-30,bear,34,21,13,8925607.119794238,335.53142296865116,8925271.58837127,319.63150705169494,1686437.5230013991,-103176.34437815675,8,7,6,10,2,1,974,285616402.6642775,22259.760348311196,285594142.90392923,285694142.90392923,0.032248104875187075
55,2025-10-01,bear,32,19,13,5017929.686983864,253.48945504268946,5017676.197528821,212.09804116235983,1507815.928525372,-158480.76198413855,9,7,3,7,3,3,993,290634332.3512614,22513.249803353887,290611819.1014581,290711819.1014581,0.017563104887369434
56,2025-10-02,bear,19,13,6,1744769.547860447,197.89277204075742,1744571.6550884063,96.73382342017159,486858.54273591365,-143371.95729379242,9,1,3,8,0,3,1006,292379101.8991218,22711.142575394646,292356390.7565465,292456390.7565465,0.006001034496913773
57,2025-10-03,bear,13,8,5,755845.6043910296,274.3137343676027,755571.290656662,92.66020527079061,366482.3531444071,11441.759633652513,4,3,1,1,2,1,1014,293134947.50351286,22985.45630976225,293111962.0472032,293211962.0472032,0.002583534894560169
58,2025-10-04,bear,26,16,10,2603414.6498470204,261.7355388519017,2603152.9143081685,144.35159275945978,794410.3947543392,-124311.0702288213,5,9,2,2,0,3,1030,295738362.1533599,23247.19184861415,295715114.9615114,295815114.9615114,0.008878058371605916
59,2025-10-05,bear,23,13,10,2150810.6250309963,203.32970776469665,2150607.2953232317,129.31820939645442,1068184.6980338143,-121397.9530223416,8,2,3,4,2,2,1043,297889172.7783909,23450.521556378848,297865722.2568346,297965722.2568346,0.0072701061796759375
60,2025-10-06,sideways,42,14,28,2685653.9163845377,541.2553376193023,2685112.6610469185,156.02753386945554,1007075.1219701171,-117785.70793931106,4,9,1,11,1,1,1057,300574826.6947754,23991.77689399815,300550834.91788155,300650834.91788155,0.009011481725849183
61,2025-10-07,sideways,22,8,14,1124887.405528373,534.5907020737793,1124352.8148262992,110.26144731832292,589393.4059798202,-111957.5828365184,5,2,1,2,0,2,1065,301699714.10030377,24526.36759607193,301675187.73270786,301775187.73270786,0.003739729560815622
62,2025-10-08,sideways,24,13,11,2177062.8484073323,381.44125376710883,2176681.4071535654,119.26297703808844,519812.38994083734,-31884.061013269766,3,9,1,5,0,0,1078,303876776.9487111,24907.80884983904,303851869.1398614,303951869.1398614,0.007212923711546236
63,2025-10-09,sideways,35,11,24,1524148.9680238806,403.9239769180566,1523745.0440469626,150.87109360365397,566988.8788554439,-77408.61546806918,3,6,2,4,0,1,1089,305400925.916735,25311.732826757096,305375614.18390834,305475614.18390834,0.005013112925934407
64,2025-10-10,sideways,44,19,25,7264048.1137671415,606.1447354475456,7263441.969031694,302.5333345346094,4887533.989395832,-102771.28796561931,9,6,4,6,2,1,1108,312664974.03050214,25917.87756220464,312639056.15294003,312739056.15294003,0.02377748544163272
65,2025-10-11,sideways,23,9,14,1654032.272440472,270.49183729982576,1653761.780603172,137.24862641225351,739229.343731152,-14814.58967822349,4,5,0,6,4,1,1117,314319006.30294263,26188.369399504467,314292817.9335432,314392817.9335432,0.005287992491076734
66,2025-10-12,sideways,33,12,21,6217074.154857974,445.2814688814948,6216628.873389092,418.7884417171127,2741912.205993582,-54352.246729817925,7,3,2,5,2,0,1129,320536080.4578006,26633.65086838596,320509446.8069323,320609446.8069323,0.019773444298918978
67,2025-10-13,sideways,18,12,6,2274452.6228682967,251.75893295824199,2274200.8639353383,145.6030221512195,1223384.6480486658,-112712.13840675805,3,6,3,4,1,2,1141,322810533.0806689,26885.4098013442,322783647.6708676,322883647.6708676,0.007093368229117837
68,2025-10-14,sideways,30,8,22,1358680.8861308717,207.62622948585405,1358473.2599013858,147.39424938685193,519760.7028489961,-77841.56270663999,4,4,0,3,2,0,1149,324169213.9667998,27093.036030830055,324142120.930769,324242120.930769,0.00420731514184995
69,2025-10-15,sideways,44,26,18,6992484.190244552,540.0214156569916,6991944.168828894,254.62792635630123,1137894.0487405607,-75552.27044433057,7,11,8,9,5,2,1175,331161698.15704435,27633.057446487048,331134065.09959793,331234065.09959793,0.021563960131884864
70,2025-10-16,sideways,23,8,15,1673113.7971283016,187.78791201130704,1672926.0092162902,151.13064283692603,1400565.9409974234,-160741.40149115084,1,5,2,3,0,2,1183,332834811.9541727,27820.845358498354,332806991.10881424,332906991.10881424,0.005050585629570625
71,2025-10-17,sideways,28,13,15,2966702.4195347163,385.54171689133346,2966316.877817825,141.2989658998977,1482128.1350958224,-128492.18943363529,8,5,0,6,0,2,1196,335801514.3737074,28206.387075389688,335773307.98663205,335873307.98663205,0.008910347205199582
72,2025-10-18,sideways,27,18,9,5376114.284565129,347.17095818904346,5375767.11360694,226.35317220803026,2002547.6136646906,-97841.05921585867,9,6,3,6,5,1,1214,341177628.65827256,28553.55803357873,341149075.100239,341249075.100239,0.016005341852949204
73,2025-10-19,sideways,26,22,4,4858523.160094616,345.6259824624814,4858177.534112154,215.9412769832611,2177729.3439899865,-152518.7977436413,10,8,4,12,3,2,1236,346036151.8183672,28899.184016041214,346007252.63435113,346107252.63435113,0.01423645626785979
74,2025-10-20,sideways,35,13,22,5632135.684764963,598.1481917747594,5631537.536573187,317.4412380567801,1996882.5268247367,-72564.15630103623,5,6,2,6,4,1,1249,351668287.50313216,29497.332207815973,351638790.1709243,351738790.1709243,0.01627107636060631
75,2025-10-21,sideways,30,12,18,3184611.6541356286,354.894131065626,3184256.760004563,268.9644168044773,682429.74081738,-104437.35874231582,5,7,0,1,1,4,1261,354852899.1572678,29852.2263388816,354823046.9309289,354923046.9309289,0.009052901894775955
76,2025-10-22,sideways,18,9,9,1297751.7311427223,394.56096982384963,1297357.1701728986,142.23219003543602,938432.9151703549,-135405.04096712862,5,3,1,3,3,1,1270,356150650.8884105,30246.78730870545,356120404.10110176,356220404.10110176,0.0036553196006608598
77,2025-10-23,sideways,36,18,18,5407702.58000198,471.725903804617,5407230.854098176,295.650255977996,1413298.6382220036,-114104.26785949018,7,9,2,8,2,1,1288,361558353.4684125,30718.513212510068,361527634.95519996,361627634.95519996,0.015179452922532496
78,2025-10-24,sideways,43,27,16,6117864.2674727375,445.4192055393529,6117418.848267199,200.02219435171864,1349357.723327605,-156462.75680962723,12,11,4,11,4,3,1315,367676217.73588526,31163.932418049422,367645053.80346715,367745053.80346715,0.01691634780352185
79,2025-10-25,sideways,25,13,12,7005785.830728409,359.3033784722609,7005426.527349937,442.2594856640358,2853468.14373635,-41326.5355309604,7,5,1,5,2,2,1328,374682003.5666137,31523.235796521683,374650480.3308171,374750480.3308171,0.01904968253113154
80,2025-10-26,sideways,38,15,23,2868982.949987977,411.24970347153766,2868571.7002845053,138.44950655688297,1014082.1015034289,-80613.2781994153,6,5,4,3,2,2,1343,377550986.5166016,31934.48549999322,377519052.0311016,377619052.0311016,0.007654617807967122
81,2025-10-27,sideways,21,10,11,118687.68432012692,397.4100691478524,118290.27425097907,32.49350347632657,218459.38597970153,-129667.4955339949,3,5,2,4,0,1,1353,377669674.2009218,32331.895569141074,377637342.30535257,377737342.30535257,0.0003132529294132024
82,2025-10-28,sideways,32,13,19,1404040.8226848468,386.98476594174343,1403653.837918905,105.30218203946517,467550.32307209563,-155557.8199597214,5,6,2,2,0,3,1366,379073715.0236066,32718.880335082817,379040996.14327145,379140996.14327145,0.003715952014043212
83,2025-10-29,sideways,35,16,19,4238081.53811127,542.9445293092535,4237538.5935819615,239.10586873752834,1795072.5110489205,-112637.21425341388,11,3,2,5,2,4,1382,383311796.56171787,33261.82486439207,383278534.7368534,383378534.7368534,0.011176682650220874
84,2025-10-30,sideways,29,9,20,2577850.3192756944,300.5322964672369,2577549.7869792273,318.52880267747446,581398.2811440515,-83416.62207773318,5,2,2,3,0,1,1391,385889646.88099355,33562.357160859305,385856084.5238326,385956084.5238326,0.006723250139052328
85,2025-10-31,sideways,21,10,11,14200129.891390843,181.5427817242857,14199948.34860912,998.424123827595,13320812.938817116,-126178.5128847911,6,2,2,2,1,0,1401,400089776.7723844,33743.899942583594,400056032.87244177,400156032.87244177,0.03679161676160148
86,2025-11-01,sideways,30,13,17,3504369.9184604203,355.3506328058364,3504014.5678276145,196.70836695581627,1725344.3795830281,-146730.7922956449,4,7,2,6,3,3,1414,403594146.69084483,34099.25057538943,403560047.4402694,403660047.4402694,0.008756620617899303
87,2025-11-02,sideways,42,18,24,4419644.213289133,473.00324072850674,4419171.2100484045,244.76812651691864,737567.6794118885,-153411.75170398594,13,2,3,8,3,4,1432,408013790.904134,34572.25381611793,407979218.6503178,408079218.6503178,0.010947754770559304
88,2025-11-03,sideways,38,19,19,2860132.351658799,489.71674498526136,2859642.634913814,128.26046555341705,762364.1735137326,-139847.44215534843,8,9,2,5,2,5,1451,410873923.2557928,35061.9705611032,410838861.2852316,410938861.2852316,0.0070075674139246855
89,2025-11-04,sideways,20,10,10,1086083.4514620726,163.4092005048867,1085920.0422615677,98.38926701395071,461460.6011752489,-107672.71782117595,3,5,2,2,0,2,1461,411960006.7072549,35225.379761608085,411924781.32749313,412024781.32749313,0.002642534314874235
90,2025-11-05,bull,52,32,20,8952698.100891948,759.1300114027687,8951938.970880546,223.27159126064748,1517792.393715002,-115913.17354828879,15,12,5,12,5,6,1493,420912704.80814683,35984.509773010854,420876720.2983737,420976720.2983737,0.02172670037476508
91,2025-11-06,bull,28,8,20,787808.8347647239,174.59258461836123,787634.2421801055,89.25688704695577,607168.2072915082,-158704.39049431146,3,2,3,4,1,1,1501,421700513.64291155,36159.102357629214,421664354.5405538,421764354.5405538,0.0018709686407881597
